#run_name            mass#32 zpinputs#1   cross(pb)           
run_121              450 1.8              0.101373             
run_122              450 2.0              0.089551             
run_123              500 1.8              0.24721              
run_124              500 2.0              0.21812              
run_125              550 1.8              0.31219              
run_126              550 2.0              0.27562              
run_127              2050 1.8             0.0054483            
run_128              2050 2.0             0.0048324            
run_129              2100 1.8             0.0048347            
run_130              2100 2.0             0.0042766            
run_131              2150 1.8             0.0042778            
run_132              2150 2.0             0.0038028            
run_133              2200 1.8             0.0038092            
run_134              2200 2.0             0.0033764            
run_135              2250 1.8             0.003385             
run_136              2250 2.0             0.0030004            
run_137              2300 1.8             0.0030217            
run_138              2300 2.0             0.0026718            
run_139              2450 1.8             0.0021457            
run_140              2450 2.0             0.0019059            
run_141              2700 1.8             0.0012378            
run_142              2700 2.0             0.0011023            
run_143              2750 1.8             0.0011136            
run_144              2750 2.0             0.00098863           
run_145              2800 1.8             0.0010003            
run_146              2800 2.0             0.00088815           
run_147              2850 1.8             0.0008996            
run_148              2850 2.0             0.00079838           
run_149              2900 1.8             0.00081147           
run_150              2900 2.0             0.00071891           
run_151              2950 1.8             0.00073322           
run_152              2950 2.0             0.00064814           
