#run_name            mass#32              cross(pb)           
run_81               2200                 0.0050592            
run_82               2250                 0.0045044            
run_83               2300                 0.0040264            
run_84               2450                 0.0028567            
run_85               2700                 0.0016479            
run_86               2750                 0.0014818            
run_87               2800                 0.0013316            
run_88               2850                 0.0011976            
run_89               2900                 0.0010796            
run_90               2950                 0.00097206           
