#run_name            mass#32 zpinputs#1   cross(pb)           
run_185              450 3.5              0.037775             
run_186              450 4.0              0.0297086            
run_187              500 3.5              0.091729             
run_188              500 4.0              0.072254             
run_189              550 3.5              0.11619              
run_190              550 4.0              0.091096             
run_191              2050 3.5             0.0020776            
run_192              2050 4.0             0.0016363            
run_193              2100 3.5             0.0018382            
run_194              2100 4.0             0.0014556            
run_195              2150 3.5             0.0016345            
run_196              2150 4.0             0.001289             
run_197              2200 3.5             0.001454             
run_198              2200 4.0             0.0011444            
run_199              2250 3.5             0.0012947            
run_200              2250 4.0             0.0010194            
run_201              2300 3.5             0.0011503            
run_202              2300 4.0             0.00090737           
run_203              2450 3.5             0.00081808           
run_204              2450 4.0             0.00064608           
run_205              2700 3.5             0.00047282           
run_206              2700 4.0             0.00037316           
run_207              2750 3.5             0.00042554           
run_208              2750 4.0             0.00033659           
run_209              2800 3.5             0.00038253           
run_210              2800 4.0             0.00030145           
run_211              2850 3.5             0.00034403           
run_212              2850 4.0             0.00027062           
run_213              2900 3.5             0.00030955           
run_214              2900 4.0             0.00024474           
run_215              2950 3.5             0.00027918           
run_216              2950 4.0             0.00022057           
