#run_name            mass#32 zpinputs#1   cross(pb)           
run_217              450 4.5              0.0238934            
run_218              450 5.0              0.0194782            
run_219              500 4.5              0.057909             
run_220              500 5.0              0.047319             
run_221              550 4.5              0.073412             
run_222              550 5.0              0.059838             
run_223              2050 4.5             0.0013198            
run_224              2050 5.0             0.0010789            
run_225              2100 4.5             0.0011661            
run_226              2100 5.0             0.00095595           
run_227              2150 4.5             0.0010346            
run_228              2150 5.0             0.00084871           
run_229              2200 4.5             0.00091968           
run_230              2200 5.0             0.00075398           
run_231              2250 4.5             0.00081912           
run_232              2250 5.0             0.00067063           
run_233              2300 4.5             0.00072933           
run_234              2300 5.0             0.00059837           
run_235              2450 4.5             0.00051946           
run_236              2450 5.0             0.0004249            
run_237              2700 4.5             0.0003006            
run_238              2700 5.0             0.00024612           
run_239              2750 4.5             0.00026978           
run_240              2750 5.0             0.00022086           
run_241              2800 4.5             0.00024304           
run_242              2800 5.0             0.00019873           
run_243              2850 4.5             0.0002188            
run_244              2850 5.0             0.00017837           
run_245              2900 4.5             0.00019633           
run_246              2900 5.0             0.00016111           
run_247              2950 4.5             0.00017679           
run_248              2950 5.0             0.00014478           
