#run_name            mass#32 zpinputs#1   cross(pb)           
run_101              2200 1.4             0.0047376            
run_102              2200 1.6             0.0042681            
run_103              2250 1.4             0.0042203            
run_104              2250 1.6             0.0038001            
run_105              2300 1.4             0.003756             
run_106              2300 1.6             0.0033854            
run_107              2450 1.4             0.0026721            
run_108              2450 1.6             0.0024112            
run_109              2700 1.4             0.0015411            
run_110              2700 1.6             0.0013875            
run_111              2750 1.4             0.0013902            
run_112              2750 1.6             0.0012512            
run_113              2800 1.4             0.0012489            
run_114              2800 1.6             0.0011258            
run_115              2850 1.4             0.0011213            
run_116              2850 1.6             0.0010127            
run_117              2900 1.4             0.0010123            
run_118              2900 1.6             0.00090838           
run_119              2950 1.4             0.00091157           
run_120              2950 1.6             0.00082001           
