################################################################################################
UFO = https://svnweb.cern.ch/cern/wsvn/LHCDMF/trunk/models/EW_Higgs_2HDM/
MadGraph Version = MG5_v2_3_3
pdf        mzp        ma         mhp        mh2        tan(beta)  gZ         sigma [pb]
263400     2800       700        700        700        1.0        0.8        0.0004982400
263400     2800       800        800        800        1.0        0.8        0.0004561500
263400     2800       900        900        900        1.0        0.8        0.0004154200
263400     2800       1000       1000       1000       1.0        0.8        0.0003748100
263400     2800       1100       1100       1100       1.0        0.8        0.0003344300
263400     3000       300        300        300        1.0        0.8        0.0009172100
263400     3000       400        400        400        1.0        0.8        0.0004815700
263400     3000       500        500        500        1.0        0.8        0.0004009300
263400     3000       600        600        600        1.0        0.8        0.0003637400
263400     3000       700        700        700        1.0        0.8        0.0003346000
263400     3000       800        800        800        1.0        0.8        0.0003087300
263400     3000       900        900        900        1.0        0.8        0.0002844400
263400     3000       1000       1000       1000       1.0        0.8        0.0002594500
263400     3000       1100       1100       1100       1.0        0.8        0.0002352300
