fileID	LHAID	mzp	ma	mhp	mh2	mDM	tanBeta	gZ	Sigma[pb]
5	263400	450.0	400.0	400.0	400.0	100	0.4	0.8	0.00098769
6	263400	450.0	400.0	400.0	400.0	100	0.6	0.8	0.00219606
246	263400	450.0	400.0	400.0	400.0	100	0.8	0.8	0.0032436
20	263400	450.0	400.0	400.0	400.0	100	1.0	0.8	0.0038579
21	263400	450.0	400.0	400.0	400.0	100	1.2	0.8	0.0040893
22	263400	450.0	400.0	400.0	400.0	100	1.4	0.8	0.0040158
23	263400	450.0	400.0	400.0	400.0	100	1.6	0.8	0.0038033
24	263400	450.0	400.0	400.0	400.0	100	1.8	0.8	0.0035051
25	263400	450.0	400.0	400.0	400.0	100	2.0	0.8	0.00318381
26	263400	450.0	400.0	400.0	400.0	100	2.5	0.8	0.00248694
27	263400	450.0	400.0	400.0	400.0	100	3.0	0.8	0.00190987
28	263400	450.0	400.0	400.0	400.0	100	3.5	0.8	0.00150361
29	263400	450.0	400.0	400.0	400.0	100	4.0	0.8	0.00120396
30	263400	450.0	400.0	400.0	400.0	100	4.5	0.8	0.00097046
31	263400	450.0	400.0	400.0	400.0	100	5.0	0.8	0.00080118
32	263400	450.0	400.0	400.0	400.0	100	7.0	0.8	0.00042124
33	263400	450.0	400.0	400.0	400.0	100	10.0	0.8	0.000202386
7	263400	500.0	400.0	400.0	400.0	100	0.4	0.8	0.00218139
8	263400	500.0	400.0	400.0	400.0	100	0.6	0.8	0.0049629
6	263400	500.0	400.0	400.0	400.0	100	0.8	0.8	0.0071527
34	263400	500.0	400.0	400.0	400.0	100	1.0	0.8	0.0083092
35	263400	500.0	400.0	400.0	400.0	100	1.2	0.8	0.0085882
36	263400	500.0	400.0	400.0	400.0	100	1.4	0.8	0.008293
37	263400	500.0	400.0	400.0	400.0	100	1.6	0.8	0.0078105
38	263400	500.0	400.0	400.0	400.0	100	1.8	0.8	0.0071391
39	263400	500.0	400.0	400.0	400.0	100	2.0	0.8	0.0064646
40	263400	500.0	400.0	400.0	400.0	100	2.5	0.8	0.0049574
41	263400	500.0	400.0	400.0	400.0	100	3.0	0.8	0.0038154
42	263400	500.0	400.0	400.0	400.0	100	3.5	0.8	0.002979
43	263400	500.0	400.0	400.0	400.0	100	4.0	0.8	0.0023779
44	263400	500.0	400.0	400.0	400.0	100	4.5	0.8	0.00191592
45	263400	500.0	400.0	400.0	400.0	100	5.0	0.8	0.00159544
46	263400	500.0	400.0	400.0	400.0	100	7.0	0.8	0.00083505
47	263400	500.0	400.0	400.0	400.0	100	10.0	0.8	0.00040425
9	263400	550.0	400.0	400.0	400.0	100	0.4	0.8	0.00467163
10	263400	550.0	400.0	400.0	400.0	100	0.6	0.8	0.0138045
5	263400	550.0	400.0	400.0	400.0	100	0.8	0.8	0.0232456
48	263400	550.0	400.0	400.0	400.0	100	1.0	0.8	0.0296199
49	263400	550.0	400.0	400.0	400.0	100	1.2	0.8	0.0323081
50	263400	550.0	400.0	400.0	400.0	100	1.4	0.8	0.0325908
51	263400	550.0	400.0	400.0	400.0	100	1.6	0.8	0.0312288
52	263400	550.0	400.0	400.0	400.0	100	1.8	0.8	0.0290181
53	263400	550.0	400.0	400.0	400.0	100	2.0	0.8	0.0266185
54	263400	550.0	400.0	400.0	400.0	100	2.5	0.8	0.020754
55	263400	550.0	400.0	400.0	400.0	100	3.0	0.8	0.016038
56	263400	550.0	400.0	400.0	400.0	100	3.5	0.8	0.0125699
57	263400	550.0	400.0	400.0	400.0	100	4.0	0.8	0.010074
58	263400	550.0	400.0	400.0	400.0	100	4.5	0.8	0.0081964
59	263400	550.0	400.0	400.0	400.0	100	5.0	0.8	0.0067468
60	263400	550.0	400.0	400.0	400.0	100	7.0	0.8	0.00352555
61	263400	550.0	400.0	400.0	400.0	100	10.0	0.8	0.00167792
11	263400	2050.0	400.0	400.0	400.0	100	0.4	0.8	0.00055954
12	263400	2050.0	400.0	400.0	400.0	100	0.6	0.8	0.0016911
7	263400	2050.0	400.0	400.0	400.0	100	0.8	0.8	0.0029621
62	263400	2050.0	400.0	400.0	400.0	100	1.0	0.8	0.003893
63	263400	2050.0	400.0	400.0	400.0	100	1.2	0.8	0.0043675
64	263400	2050.0	400.0	400.0	400.0	100	1.4	0.8	0.0044738
65	263400	2050.0	400.0	400.0	400.0	100	1.6	0.8	0.0043346
66	263400	2050.0	400.0	400.0	400.0	100	1.8	0.8	0.0040842
67	263400	2050.0	400.0	400.0	400.0	100	2.0	0.8	0.0037643
68	263400	2050.0	400.0	400.0	400.0	100	2.5	0.8	0.0029718
69	263400	2050.0	400.0	400.0	400.0	100	3.0	0.8	0.0023257
70	263400	2050.0	400.0	400.0	400.0	100	3.5	0.8	0.0018397
71	263400	2050.0	400.0	400.0	400.0	100	4.0	0.8	0.0014744
72	263400	2050.0	400.0	400.0	400.0	100	4.5	0.8	0.0012002
73	263400	2050.0	400.0	400.0	400.0	100	5.0	0.8	0.0009905
74	263400	2050.0	400.0	400.0	400.0	100	7.0	0.8	0.00051689
75	263400	2050.0	400.0	400.0	400.0	100	10.0	0.8	0.00024571
13	263400	2100.0	400.0	400.0	400.0	100	0.4	0.8	0.00049822
14	263400	2100.0	400.0	400.0	400.0	100	0.6	0.8	0.0015045
8	263400	2100.0	400.0	400.0	400.0	100	0.8	0.8	0.0026263
76	263400	2100.0	400.0	400.0	400.0	100	1.0	0.8	0.0034623
77	263400	2100.0	400.0	400.0	400.0	100	1.2	0.8	0.0038829
78	263400	2100.0	400.0	400.0	400.0	100	1.4	0.8	0.0039677
79	263400	2100.0	400.0	400.0	400.0	100	1.6	0.8	0.0038527
80	263400	2100.0	400.0	400.0	400.0	100	1.8	0.8	0.0036231
81	263400	2100.0	400.0	400.0	400.0	100	2.0	0.8	0.003343
82	263400	2100.0	400.0	400.0	400.0	100	2.5	0.8	0.0026447
83	263400	2100.0	400.0	400.0	400.0	100	3.0	0.8	0.0020694
84	263400	2100.0	400.0	400.0	400.0	100	3.5	0.8	0.0016313
85	263400	2100.0	400.0	400.0	400.0	100	4.0	0.8	0.0013076
86	263400	2100.0	400.0	400.0	400.0	100	4.5	0.8	0.0010692
87	263400	2100.0	400.0	400.0	400.0	100	5.0	0.8	0.00088117
88	263400	2100.0	400.0	400.0	400.0	100	7.0	0.8	0.00045896
89	263400	2100.0	400.0	400.0	400.0	100	10.0	0.8	0.0002185
15	263400	2150.0	400.0	400.0	400.0	100	0.4	0.8	0.00044471
16	263400	2150.0	400.0	400.0	400.0	100	0.6	0.8	0.0013409
9	263400	2150.0	400.0	400.0	400.0	100	0.8	0.8	0.0023359
90	263400	2150.0	400.0	400.0	400.0	100	1.0	0.8	0.0030752
91	263400	2150.0	400.0	400.0	400.0	100	1.2	0.8	0.0034553
92	263400	2150.0	400.0	400.0	400.0	100	1.4	0.8	0.0035318
93	263400	2150.0	400.0	400.0	400.0	100	1.6	0.8	0.003431
94	263400	2150.0	400.0	400.0	400.0	100	1.8	0.8	0.0032205
95	263400	2150.0	400.0	400.0	400.0	100	2.0	0.8	0.0029764
96	263400	2150.0	400.0	400.0	400.0	100	2.5	0.8	0.0023523
97	263400	2150.0	400.0	400.0	400.0	100	3.0	0.8	0.0018404
98	263400	2150.0	400.0	400.0	400.0	100	3.5	0.8	0.0014538
99	263400	2150.0	400.0	400.0	400.0	100	4.0	0.8	0.0011638
100	263400	2150.0	400.0	400.0	400.0	100	4.5	0.8	0.00094732
101	263400	2150.0	400.0	400.0	400.0	100	5.0	0.8	0.00078327
102	263400	2150.0	400.0	400.0	400.0	100	7.0	0.8	0.00040899
103	263400	2150.0	400.0	400.0	400.0	100	10.0	0.8	0.00019408
17	263400	2200.0	400.0	400.0	400.0	100	0.4	0.8	0.00039676
18	263400	2200.0	400.0	400.0	400.0	100	0.6	0.8	0.0011941
10	263400	2200.0	400.0	400.0	400.0	100	0.8	0.8	0.0020825
104	263400	2200.0	400.0	400.0	400.0	100	1.0	0.8	0.0027392
105	263400	2200.0	400.0	400.0	400.0	100	1.2	0.8	0.0030682
106	263400	2200.0	400.0	400.0	400.0	100	1.4	0.8	0.0031485
107	263400	2200.0	400.0	400.0	400.0	100	1.6	0.8	0.0030554
108	263400	2200.0	400.0	400.0	400.0	100	1.8	0.8	0.0028713
109	263400	2200.0	400.0	400.0	400.0	100	2.0	0.8	0.002651
110	263400	2200.0	400.0	400.0	400.0	100	2.5	0.8	0.0020879
111	263400	2200.0	400.0	400.0	400.0	100	3.0	0.8	0.0016402
112	263400	2200.0	400.0	400.0	400.0	100	3.5	0.8	0.001295
113	263400	2200.0	400.0	400.0	400.0	100	4.0	0.8	0.001037
114	263400	2200.0	400.0	400.0	400.0	100	4.5	0.8	0.00084522
115	263400	2200.0	400.0	400.0	400.0	100	5.0	0.8	0.0006969
116	263400	2200.0	400.0	400.0	400.0	100	7.0	0.8	0.00036347
117	263400	2200.0	400.0	400.0	400.0	100	10.0	0.8	0.00017298
19	263400	2250.0	400.0	400.0	400.0	100	0.4	0.8	0.00035573
20	263400	2250.0	400.0	400.0	400.0	100	0.6	0.8	0.0010646
11	263400	2250.0	400.0	400.0	400.0	100	0.8	0.8	0.0018578
118	263400	2250.0	400.0	400.0	400.0	100	1.0	0.8	0.0024433
120	263400	2250.0	400.0	400.0	400.0	100	1.2	0.8	0.0027328
121	263400	2250.0	400.0	400.0	400.0	100	1.4	0.8	0.0028104
122	263400	2250.0	400.0	400.0	400.0	100	1.6	0.8	0.0027194
123	263400	2250.0	400.0	400.0	400.0	100	1.8	0.8	0.0025544
124	263400	2250.0	400.0	400.0	400.0	100	2.0	0.8	0.0023639
125	263400	2250.0	400.0	400.0	400.0	100	2.5	0.8	0.0018682
126	263400	2250.0	400.0	400.0	400.0	100	3.0	0.8	0.0014581
127	263400	2250.0	400.0	400.0	400.0	100	3.5	0.8	0.0011514
128	263400	2250.0	400.0	400.0	400.0	100	4.0	0.8	0.00092327
129	263400	2250.0	400.0	400.0	400.0	100	4.5	0.8	0.00075261
130	263400	2250.0	400.0	400.0	400.0	100	5.0	0.8	0.00062296
131	263400	2250.0	400.0	400.0	400.0	100	7.0	0.8	0.0003249
132	263400	2250.0	400.0	400.0	400.0	100	10.0	0.8	0.00015451
21	263400	2300.0	400.0	400.0	400.0	100	0.4	0.8	0.00031766
22	263400	2300.0	400.0	400.0	400.0	100	0.6	0.8	0.00095113
12	263400	2300.0	400.0	400.0	400.0	100	0.8	0.8	0.0016527
133	263400	2300.0	400.0	400.0	400.0	100	1.0	0.8	0.0021761
