fileID	LHAID	mzp	ma	mhp	mh2	mDM	tanBeta	gZ	Sigma[pb]
46	263400	2150.0	300.0	300.0	300.0	100	0.4	0.8	0.0028608
47	263400	2150.0	300.0	300.0	300.0	100	0.6	0.8	0.004678
48	263400	2150.0	300.0	300.0	300.0	100	0.8	0.8	0.0057032
49	263400	2150.0	300.0	300.0	300.0	100	1.0	0.8	0.0059812
50	263400	2150.0	300.0	300.0	300.0	100	1.2	0.8	0.0057778
51	263400	2150.0	300.0	300.0	300.0	100	1.4	0.8	0.0053411
52	263400	2150.0	300.0	300.0	300.0	100	1.6	0.8	0.0048126
53	263400	2150.0	300.0	300.0	300.0	100	1.8	0.8	0.0042788
132	263400	2150.0	300.0	300.0	300.0	100	2.0	0.8	0.0038028
163	263400	2150.0	300.0	300.0	300.0	100	2.5	0.8	0.0028096
164	263400	2150.0	300.0	300.0	300.0	100	3.0	0.8	0.0021168
195	263400	2150.0	300.0	300.0	300.0	100	3.5	0.8	0.0016345
196	263400	2150.0	300.0	300.0	300.0	100	4.0	0.8	0.001289
227	263400	2150.0	300.0	300.0	300.0	100	4.5	0.8	0.0010346
228	263400	2150.0	300.0	300.0	300.0	100	5.0	0.8	0.00084871
259	263400	2150.0	300.0	300.0	300.0	100	7.0	0.8	0.00043533
260	263400	2150.0	300.0	300.0	300.0	100	10.0	0.8	0.00020289
55	263400	2200.0	300.0	300.0	300.0	100	0.4	0.8	0.0025341
71	263400	2200.0	300.0	300.0	300.0	100	0.6	0.8	0.00415
81	263400	2200.0	300.0	300.0	300.0	100	0.8	0.8	0.0050592
287	263400	2200.0	300.0	300.0	300.0	100	1.0	0.8	0.005322
91	263400	2200.0	300.0	300.0	300.0	100	1.2	0.8	0.0051314
101	263400	2200.0	300.0	300.0	300.0	100	1.4	0.8	0.0047376
102	263400	2200.0	300.0	300.0	300.0	100	1.6	0.8	0.0042681
133	263400	2200.0	300.0	300.0	300.0	100	1.8	0.8	0.0038092
134	263400	2200.0	300.0	300.0	300.0	100	2.0	0.8	0.0033764
165	263400	2200.0	300.0	300.0	300.0	100	2.5	0.8	0.0024967
166	263400	2200.0	300.0	300.0	300.0	100	3.0	0.8	0.001884
197	263400	2200.0	300.0	300.0	300.0	100	3.5	0.8	0.001454
198	263400	2200.0	300.0	300.0	300.0	100	4.0	0.8	0.0011444
229	263400	2200.0	300.0	300.0	300.0	100	4.5	0.8	0.00091968
230	263400	2200.0	300.0	300.0	300.0	100	5.0	0.8	0.00075398
261	263400	2200.0	300.0	300.0	300.0	100	7.0	0.8	0.00038552
262	263400	2200.0	300.0	300.0	300.0	100	10.0	0.8	0.00018035
56	263400	2250.0	300.0	300.0	300.0	100	0.4	0.8	0.0022547
72	263400	2250.0	300.0	300.0	300.0	100	0.6	0.8	0.0036933
82	263400	2250.0	300.0	300.0	300.0	100	0.8	0.8	0.0045044
288	263400	2250.0	300.0	300.0	300.0	100	1.0	0.8	0.0047392
92	263400	2250.0	300.0	300.0	300.0	100	1.2	0.8	0.0045579
103	263400	2250.0	300.0	300.0	300.0	100	1.4	0.8	0.0042203
104	263400	2250.0	300.0	300.0	300.0	100	1.6	0.8	0.0038001
135	263400	2250.0	300.0	300.0	300.0	100	1.8	0.8	0.003385
136	263400	2250.0	300.0	300.0	300.0	100	2.0	0.8	0.0030004
167	263400	2250.0	300.0	300.0	300.0	100	2.5	0.8	0.0022243
168	263400	2250.0	300.0	300.0	300.0	100	3.0	0.8	0.0016755
199	263400	2250.0	300.0	300.0	300.0	100	3.5	0.8	0.0012947
200	263400	2250.0	300.0	300.0	300.0	100	4.0	0.8	0.0010194
231	263400	2250.0	300.0	300.0	300.0	100	4.5	0.8	0.00081912
232	263400	2250.0	300.0	300.0	300.0	100	5.0	0.8	0.00067063
263	263400	2250.0	300.0	300.0	300.0	100	7.0	0.8	0.00034381
264	263400	2250.0	300.0	300.0	300.0	100	10.0	0.8	0.00016043
57	263400	2300.0	300.0	300.0	300.0	100	0.4	0.8	0.0020151
73	263400	2300.0	300.0	300.0	300.0	100	0.6	0.8	0.0032908
83	263400	2300.0	300.0	300.0	300.0	100	0.8	0.8	0.0040264
289	263400	2300.0	300.0	300.0	300.0	100	1.0	0.8	0.0042121
93	263400	2300.0	300.0	300.0	300.0	100	1.2	0.8	0.004068
105	263400	2300.0	300.0	300.0	300.0	100	1.4	0.8	0.003756
106	263400	2300.0	300.0	300.0	300.0	100	1.6	0.8	0.0033854
