fileID	LHAID	mzp	ma	mhp	mh2	mDM	tanBeta	gZ	Sigma[pb]
1	263400	450.0	500.0	500.0	500.0	100	0.4	0.8	0.000249469
2	263400	450.0	500.0	500.0	500.0	100	0.6	0.8	0.00056772
3	263400	450.0	500.0	500.0	500.0	100	0.8	0.8	0.0008571
1	263400	450.0	500.0	500.0	500.0	100	1.0	0.8	0.00104286
43	263400	450.0	500.0	500.0	500.0	100	1.2	0.8	0.0011265
3	263400	450.0	500.0	500.0	500.0	100	1.4	0.8	0.00112702
60	263400	450.0	500.0	500.0	500.0	100	1.6	0.8	0.00108286
5	263400	450.0	500.0	500.0	500.0	100	1.8	0.8	0.00101404
62	263400	450.0	500.0	500.0	500.0	100	2.0	0.8	0.00092778
7	263400	450.0	500.0	500.0	500.0	100	2.5	0.8	0.00072833
8	263400	450.0	500.0	500.0	500.0	100	3.0	0.8	0.00057287
65	263400	450.0	500.0	500.0	500.0	100	3.5	0.8	0.00045251
66	263400	450.0	500.0	500.0	500.0	100	4.0	0.8	0.000363003
67	263400	450.0	500.0	500.0	500.0	100	4.5	0.8	0.000296167
12	263400	450.0	500.0	500.0	500.0	100	5.0	0.8	0.000243488
13	263400	450.0	500.0	500.0	500.0	100	7.0	0.8	0.000128648
14	263400	450.0	500.0	500.0	500.0	100	10.0	0.8	6.2213e-05
4	263400	500.0	500.0	500.0	500.0	100	0.4	0.8	0.00044644
5	263400	500.0	500.0	500.0	500.0	100	0.6	0.8	0.00097678
6	263400	500.0	500.0	500.0	500.0	100	0.8	0.8	0.00139637
15	263400	500.0	500.0	500.0	500.0	100	1.0	0.8	0.00164387
44	263400	500.0	500.0	500.0	500.0	100	1.2	0.8	0.00172126
71	263400	500.0	500.0	500.0	500.0	100	1.4	0.8	0.00169856
72	263400	500.0	500.0	500.0	500.0	100	1.6	0.8	0.00160833
73	263400	500.0	500.0	500.0	500.0	100	1.8	0.8	0.00148336
74	263400	500.0	500.0	500.0	500.0	100	2.0	0.8	0.00135848
75	263400	500.0	500.0	500.0	500.0	100	2.5	0.8	0.00104733
22	263400	500.0	500.0	500.0	500.0	100	3.0	0.8	0.00081915
23	263400	500.0	500.0	500.0	500.0	100	3.5	0.8	0.00064395
24	263400	500.0	500.0	500.0	500.0	100	4.0	0.8	0.00051621
25	263400	500.0	500.0	500.0	500.0	100	4.5	0.8	0.00041883
80	263400	500.0	500.0	500.0	500.0	100	5.0	0.8	0.00034608
27	263400	500.0	500.0	500.0	500.0	100	7.0	0.8	0.000183428
82	263400	500.0	500.0	500.0	500.0	100	10.0	0.8	8.8474e-05
