LHAID	mzp	ma	mhp	mh2	mDM	tanBeta	gZ	Sigma[pb]
263400	1700.0	900.0	900.0	900.0	100	1.0	0.8	0.0029121
263400	1700.0	1000.0	1000.0	1000.0	100	1.0	0.8	0.0021322
263400	1700.0	1100.0	1100.0	1100.0	100	1.0	0.8	0.0014669
263400	1700.0	1200.0	1200.0	1200.0	100	1.0	0.8	0.00093657
263400	1800.0	300.0	300.0	300.0	100	1.0	0.8	0.014251
263400	1800.0	400.0	400.0	400.0	100	1.0	0.8	0.0071746
263400	1800.0	500.0	500.0	500.0	100	1.0	0.8	0.0055899
263400	1800.0	600.0	600.0	600.0	100	1.0	0.8	0.0046859
263400	1800.0	700.0	700.0	700.0	100	1.0	0.8	0.0038953
263400	1800.0	800.0	800.0	800.0	100	1.0	0.8	0.0031898
263400	1800.0	900.0	900.0	900.0	100	1.0	0.8	0.0025327
263400	1800.0	1000.0	1000.0	1000.0	100	1.0	0.8	0.0019341
263400	1800.0	1100.0	1100.0	1100.0	100	1.0	0.8	0.0014078
263400	1800.0	1200.0	1200.0	1200.0	100	1.0	0.8	0.00096792
263400	2000.0	300.0	300.0	300.0	100	1.0	0.8	0.0086008
263400	2000.0	400.0	400.0	400.0	100	1.0	0.8	0.0043899
263400	2000.0	500.0	500.0	500.0	100	1.0	0.8	0.0034998
263400	2000.0	600.0	600.0	600.0	100	1.0	0.8	0.0029991
263400	2000.0	700.0	700.0	700.0	100	1.0	0.8	0.0025816
263400	2000.0	800.0	800.0	800.0	100	1.0	0.8	0.0021931
263400	2000.0	900.0	900.0	900.0	100	1.0	0.8	0.0018285
263400	2000.0	1000.0	1000.0	1000.0	100	1.0	0.8	0.0014869
263400	2000.0	1100.0	1100.0	1100.0	100	1.0	0.8	0.001172
263400	2000.0	1200.0	1200.0	1200.0	100	1.0	0.8	0.00088743
263400	2200.0	300.0	300.0	300.0	100	1.0	0.8	0.0053216
263400	2200.0	400.0	400.0	400.0	100	1.0	0.8	0.0027394
263400	2200.0	500.0	500.0	500.0	100	1.0	0.8	0.0022137
263400	2200.0	600.0	600.0	600.0	100	1.0	0.8	0.0019369
263400	2200.0	700.0	700.0	700.0	100	1.0	0.8	0.0017019
263400	2200.0	800.0	800.0	800.0	100	1.0	0.8	0.0014876
263400	2200.0	900.0	900.0	900.0	100	1.0	0.8	0.0012817
263400	2200.0	1000.0	1000.0	1000.0	100	1.0	0.8	0.001085
263400	2200.0	1100.0	1100.0	1100.0	100	1.0	0.8	0.00089801
263400	2200.0	1200.0	1200.0	1200.0	100	1.0	0.8	0.000725
263400	2400.0	300.0	300.0	300.0	100	1.0	0.8	0.0033493
263400	2400.0	400.0	400.0	400.0	100	1.0	0.8	0.00174
263400	2400.0	500.0	500.0	500.0	100	1.0	0.8	0.0014211
263400	2400.0	600.0	600.0	600.0	100	1.0	0.8	0.0012593
263400	2400.0	700.0	700.0	700.0	100	1.0	0.8	0.0011234
263400	2400.0	800.0	800.0	800.0	100	1.0	0.8	0.0010012
263400	2400.0	900.0	900.0	900.0	100	1.0	0.8	0.0008839
263400	2400.0	1000.0	1000.0	1000.0	100	1.0	0.8	0.000771
263400	2400.0	1100.0	1100.0	1100.0	100	1.0	0.8	0.00066094
263400	2400.0	1200.0	1200.0	1200.0	100	1.0	0.8	0.00055439
263400	2500.0	300.0	300.0	300.0	100	1.0	0.8	0.0026787
263400	2500.0	400.0	400.0	400.0	100	1.0	0.8	0.0013922
263400	2500.0	500.0	500.0	500.0	100	1.0	0.8	0.0011446
263400	2500.0	600.0	600.0	600.0	100	1.0	0.8	0.0010187
263400	2500.0	700.0	700.0	700.0	100	1.0	0.8	0.00091718
263400	2500.0	800.0	800.0	800.0	100	1.0	0.8	0.00082249
263400	2500.0	900.0	900.0	900.0	100	1.0	0.8	0.00073284
263400	2500.0	1000.0	1000.0	1000.0	100	1.0	0.8	0.00064514
