#run_name            mass#32 zpinputs#1   cross(pb)           
run_01               450 0.4              0.000249469          
run_02               450 0.6              0.00056772           
run_03               450 0.8              0.0008571            
run_04               500 0.4              0.00044644           
run_05               500 0.6              0.00097678           
run_06               500 0.8              0.00139637           
run_07               550 0.4              0.00073984           
run_08               550 0.6              0.00162223           
run_09               550 0.8              0.00230227           
run_10               2050 0.4             0.00038267           
run_11               2050 0.6             0.0012444            
run_12               2050 0.8             0.0022857            
run_13               2100 0.4             0.00034284           
run_14               2100 0.6             0.0011124            
run_15               2100 0.8             0.002039             
run_16               2150 0.4             0.00030705           
run_17               2150 0.6             0.00099397           
run_18               2150 0.8             0.0018216            
run_19               2200 0.4             0.00027584           
run_20               2200 0.6             0.00088855           
run_21               2200 0.8             0.001628             
run_22               2250 0.4             0.00024782           
run_23               2250 0.6             0.00079487           
run_24               2250 0.8             0.0014555            
run_25               2300 0.4             0.00022264           
run_26               2300 0.6             0.00071324           
run_27               2300 0.8             0.0013003            
run_28               2450 0.4             0.00016218           
run_29               2450 0.6             0.00051598           
run_30               2450 0.8             0.0009368            
run_31               2700 0.4             9.7101e-05           
run_32               2700 0.6             0.00030463           
run_33               2700 0.8             0.00055166           
run_34               2750 0.4             8.7868e-05           
run_35               2750 0.6             0.0002747            
run_36               2750 0.8             0.00049576           
run_37               2800 0.4             7.9044e-05           
run_38               2800 0.6             0.00024692           
run_39               2800 0.8             0.00044636           
run_40               2850 0.4             7.1844e-05           
run_41               2850 0.6             0.00022306           
run_42               2850 0.8             0.00040311           
run_43               2900 0.4             6.4819e-05           
run_44               2900 0.6             0.00020149           
run_45               2900 0.8             0.0003635            
run_46               2950 0.4             5.8828e-05           
run_47               2950 0.6             0.00018191           
run_48               2950 0.8             0.00032801           
